UF,Codigo_IBGE,Ente_Federado,VAAT,Ponderador_DRec,Ponderador_NSE
AC,12.0,GOVERNO DO ESTADO,10823.2,1.028237,1.017846
AC,1200013.0,ACRELANDIA,7781.57,1.03115,1.014371
AC,1200054.0,ASSIS BRASIL,7598.77,1.031325,1.023902
AC,1200104.0,BRASILEIA,7763.4,1.031167,1.014452
AC,1200138.0,BUJARI,8066.82,1.030877,1.022161
AC,1200179.0,CAPIXABA,8408.0,1.03055,1.020692
AC,1200203.0,CRUZEIRO DO SUL,7581.27,1.031342,1.025669
AC,1200252.0,EPITACIOLANDIA,7589.79,1.031333,1.017424
AC,1200302.0,FEIJO,8486.2,1.030475,1.035826
AC,1200328.0,JORDAO,6559.61,1.03232,1.035807
AC,1200336.0,MANCIO LIMA,7373.25,1.031541,1.027668
AC,1200344.0,MANOEL URBANO,7587.66,1.031335,1.023155
AC,1200351.0,MARECHAL THAUMATURGO,7668.11,1.031258,1.044793
AC,1200385.0,PLACIDO DE CASTRO,7880.32,1.031055,1.019553
AC,1200393.0,PORTO WALTER,7855.76,1.031079,1.035717
AC,1200401.0,RIO BRANCO,10521.34,1.028526,1.010803
AC,1200427.0,RODRIGUES ALVES,6659.57,1.032224,1.034039
AC,1200435.0,SANTA ROSA DO PURUS,8160.17,1.030787,1.031455
AC,1200450.0,SENADOR GUIOMARD,8263.96,1.030688,1.019125
AC,1200500.0,SENA MADUREIRA,7461.03,1.031457,1.022391
AC,1200609.0,TARAUACA,7399.03,1.031516,1.030588
AC,1200807.0,PORTO ACRE,8218.82,1.030731,1.021846
AL,27.0,GOVERNO DO ESTADO,0.0,0.965,1.022521
AL,2700102.0,AGUA BRANCA,6299.68,1.032569,1.026849
AL,2700201.0,ANADIA,6931.3,1.031964,1.024054
AL,2700300.0,ARAPIRACA,7490.03,1.031429,1.016521
AL,2700409.0,ATALAIA,7237.42,1.031671,1.024248
AL,2700508.0,BARRA DE SANTO ANTONIO,7075.06,1.031826,1.021515
AL,2700607.0,BARRA DE SAO MIGUEL,8955.76,1.030025,1.016026
AL,2700706.0,BATALHA,6782.13,1.032107,1.030058
AL,2700805.0,BELEM,6532.36,1.032346,1.024227
AL,2700904.0,BELO MONTE,5909.06,1.032943,1.030583
AL,2701001.0,BOCA DA MATA,7797.73,1.031134,1.023187
AL,2701100.0,BRANQUINHA,5676.02,1.033166,1.025604
AL,2701209.0,CACIMBINHAS,6587.08,1.032294,1.030296
AL,2701308.0,CAJUEIRO,7064.39,1.031837,1.022305
AL,2701357.0,CAMPESTRE,5742.12,1.033103,1.02162
AL,2701407.0,CAMPO ALEGRE,6725.79,1.032161,1.018999
AL,2701506.0,CAMPO GRANDE,5012.99,1.033801,1.03017
AL,2701605.0,CANAPI,6853.99,1.032038,1.03225
AL,2701704.0,CAPELA,6682.78,1.032202,1.024042
AL,2701803.0,CARNEIROS,6610.85,1.032271,1.032839
AL,2701902.0,CHA PRETA,7103.1,1.031799,1.02863
AL,2702009.0,COITE DO NOIA,6411.87,1.032461,1.018335
AL,2702108.0,COLONIA LEOPOLDINA,6789.49,1.0321,1.026628
AL,2702207.0,COQUEIRO SECO,8659.8,1.030309,1.019081
AL,2702306.0,CORURIPE,7291.05,1.031619,1.016094
AL,2702355.0,CRAIBAS,6277.15,1.03259,1.02786
AL,2702405.0,DELMIRO GOUVEIA,7061.1,1.03184,1.013997
AL,2702504.0,DOIS RIACHOS,6302.63,1.032566,1.029914
AL,2702553.0,ESTRELA DE ALAGOAS,7133.89,1.03177,1.026775
AL,2702603.0,FEIRA GRANDE,7267.79,1.031642,1.026077
AL,2702702.0,FELIZ DESERTO,7287.95,1.031622,1.021856
AL,2702801.0,FLEXEIRAS,7159.22,1.031746,1.024116
AL,2703007.0,IBATEGUARA,6677.03,1.032208,1.027667
AL,2703205.0,IGREJA NOVA,6893.73,1.032,1.028066
AL,2703304.0,INHAPI,6048.28,1.03281,1.030494
AL,2703403.0,JACARE DOS HOMENS,6463.85,1.032412,1.030833
AL,2703502.0,JACUIPE,8294.27,1.030659,1.020115
AL,2703601.0,JAPARATINGA,7086.96,1.031815,1.022948
AL,2703700.0,JARAMATAIA,6215.15,1.03265,1.024011
AL,2703759.0,JEQUIA DA PRAIA,7535.68,1.031385,1.022578
AL,2703809.0,JOAQUIM GOMES,7414.27,1.031501,1.025665
AL,2703908.0,JUNDIA,5910.11,1.032942,1.024823
AL,2704005.0,JUNQUEIRO,7139.83,1.031764,1.018625
AL,2704104.0,LAGOA DA CANOA,4989.52,1.033824,1.025206
AL,2704203.0,LIMOEIRO DE ANADIA,6437.15,1.032437,1.023946
AL,2704302.0,MACEIO,11056.52,1.028013,1.015587
AL,2704401.0,MAJOR ISIDORO,7140.41,1.031764,1.032115
AL,2704500.0,MARAGOGI,7202.57,1.031704,1.021202
AL,2704609.0,MARAVILHA,5926.9,1.032926,1.024768
AL,2704708.0,MARECHAL DEODORO,7325.37,1.031587,1.015071
AL,2704807.0,MARIBONDO,6709.12,1.032177,1.022856
AL,2704906.0,MAR VERMELHO,7745.3,1.031184,1.024912
AL,2705002.0,MATA GRANDE,5851.13,1.032998,1.02983
AL,2705200.0,MESSIAS,7271.82,1.031638,1.020627
